Title,track_id,track_features,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,"{'danceability': 0.634, 'energy': 0.551, 'key': 3, 'loudness': -7.136, 'mode': 1, 'speechiness': 0.0352, 'acousticness': 0.00737, 'instrumentalness': 1.82e-05, 'liveness': 0.07, 'valence': 0.453, 'tempo': 151.779, 'type': 'audio_features', 'id': '6VoIBz0VhCyz7OdEoRYDiA', 'uri': 'spotify:track:6VoIBz0VhCyz7OdEoRYDiA', 'track_href': 'https://api.spotify.com/v1/tracks/6VoIBz0VhCyz7OdEoRYDiA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA', 'duration_ms': 258827, 'time_signature': 4}",0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,audio_features,6VoIBz0VhCyz7OdEoRYDiA,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/tracks/6VoIBz0VhCyz7OdEoRYDiA,https://api.spotify.com/v1/audio-analysis/6VoIBz0VhCyz7OdEoRYDiA,258827,4
I'd Rather Go Blind,1kPBT8S2wJFNAyBMnGVZgL,"{'danceability': 0.477, 'energy': 0.433, 'key': 11, 'loudness': -6.473, 'mode': 0, 'speechiness': 0.0247, 'acousticness': 0.689, 'instrumentalness': 0.000195, 'liveness': 0.151, 'valence': 0.611, 'tempo': 82.52, 'type': 'audio_features', 'id': '1kPBT8S2wJFNAyBMnGVZgL', 'uri': 'spotify:track:1kPBT8S2wJFNAyBMnGVZgL', 'track_href': 'https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL', 'duration_ms': 156653, 'time_signature': 3}",0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3
For What It's Worth,1qRA5BS78u3gME0loMl9AA,"{'danceability': 0.653, 'energy': 0.519, 'key': 2, 'loudness': -10.164, 'mode': 1, 'speechiness': 0.0497, 'acousticness': 0.406, 'instrumentalness': 0.0209, 'liveness': 0.101, 'valence': 0.822, 'tempo': 98.883, 'type': 'audio_features', 'id': '1qRA5BS78u3gME0loMl9AA', 'uri': 'spotify:track:1qRA5BS78u3gME0loMl9AA', 'track_href': 'https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA', 'duration_ms': 153693, 'time_signature': 4}",0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4
Boom Boom,3opVsyWVYEAFK9bJAG8Opa,"{'danceability': 0.866, 'energy': 0.857, 'key': 9, 'loudness': -5.894, 'mode': 1, 'speechiness': 0.0664, 'acousticness': 0.13, 'instrumentalness': 0.0017, 'liveness': 0.13, 'valence': 0.408, 'tempo': 130.049, 'type': 'audio_features', 'id': '3opVsyWVYEAFK9bJAG8Opa', 'uri': 'spotify:track:3opVsyWVYEAFK9bJAG8Opa', 'track_href': 'https://api.spotify.com/v1/tracks/3opVsyWVYEAFK9bJAG8Opa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3opVsyWVYEAFK9bJAG8Opa', 'duration_ms': 251440, 'time_signature': 4}",0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,audio_features,3opVsyWVYEAFK9bJAG8Opa,spotify:track:3opVsyWVYEAFK9bJAG8Opa,https://api.spotify.com/v1/tracks/3opVsyWVYEAFK9bJAG8Opa,https://api.spotify.com/v1/audio-analysis/3opVsyWVYEAFK9bJAG8Opa,251440,4
Do I Move You,0aIcFRGr88cGtlEJBuDub6,"{'danceability': 0.386, 'energy': 0.511, 'key': 4, 'loudness': -4.821, 'mode': 0, 'speechiness': 0.0375, 'acousticness': 0.802, 'instrumentalness': 0, 'liveness': 0.2, 'valence': 0.548, 'tempo': 162.693, 'type': 'audio_features', 'id': '0aIcFRGr88cGtlEJBuDub6', 'uri': 'spotify:track:0aIcFRGr88cGtlEJBuDub6', 'track_href': 'https://api.spotify.com/v1/tracks/0aIcFRGr88cGtlEJBuDub6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0aIcFRGr88cGtlEJBuDub6', 'duration_ms': 164987, 'time_signature': 3}",0.386,0.511,4,-4.821,0,0.0375,0.802,0.0,0.2,0.548,162.693,audio_features,0aIcFRGr88cGtlEJBuDub6,spotify:track:0aIcFRGr88cGtlEJBuDub6,https://api.spotify.com/v1/tracks/0aIcFRGr88cGtlEJBuDub6,https://api.spotify.com/v1/audio-analysis/0aIcFRGr88cGtlEJBuDub6,164987,3
"How Long, Sweet Daddy, How Long",4wlLYzyMlK6nmpD8VIhSL4,"{'danceability': 0.455, 'energy': 0.131, 'key': 1, 'loudness': -21.211, 'mode': 1, 'speechiness': 0.0443, 'acousticness': 0.995, 'instrumentalness': 0.8, 'liveness': 0.479, 'valence': 0.414, 'tempo': 129.971, 'type': 'audio_features', 'id': '4wlLYzyMlK6nmpD8VIhSL4', 'uri': 'spotify:track:4wlLYzyMlK6nmpD8VIhSL4', 'track_href': 'https://api.spotify.com/v1/tracks/4wlLYzyMlK6nmpD8VIhSL4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4wlLYzyMlK6nmpD8VIhSL4', 'duration_ms': 195295, 'time_signature': 3}",0.455,0.131,1,-21.211,1,0.0443,0.995,0.8,0.479,0.414,129.971,audio_features,4wlLYzyMlK6nmpD8VIhSL4,spotify:track:4wlLYzyMlK6nmpD8VIhSL4,https://api.spotify.com/v1/tracks/4wlLYzyMlK6nmpD8VIhSL4,https://api.spotify.com/v1/audio-analysis/4wlLYzyMlK6nmpD8VIhSL4,195295,3
Mr. Follow Follow,59S09q0K3SCs6BgxNFois9,"{'danceability': 0.725, 'energy': 0.682, 'key': 10, 'loudness': -7.541, 'mode': 0, 'speechiness': 0.0611, 'acousticness': 0.0861, 'instrumentalness': 0.516, 'liveness': 0.12, 'valence': 0.608, 'tempo': 91.631, 'type': 'audio_features', 'id': '59S09q0K3SCs6BgxNFois9', 'uri': 'spotify:track:59S09q0K3SCs6BgxNFois9', 'track_href': 'https://api.spotify.com/v1/tracks/59S09q0K3SCs6BgxNFois9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59S09q0K3SCs6BgxNFois9', 'duration_ms': 777653, 'time_signature': 4}",0.725,0.682,10,-7.541,0,0.0611,0.0861,0.516,0.12,0.608,91.631,audio_features,59S09q0K3SCs6BgxNFois9,spotify:track:59S09q0K3SCs6BgxNFois9,https://api.spotify.com/v1/tracks/59S09q0K3SCs6BgxNFois9,https://api.spotify.com/v1/audio-analysis/59S09q0K3SCs6BgxNFois9,777653,4
Pride and Joy,1a2iF9XymafjRk56q7oCxo,"{'danceability': 0.427, 'energy': 0.626, 'key': 8, 'loudness': -11.821, 'mode': 1, 'speechiness': 0.0385, 'acousticness': 0.0274, 'instrumentalness': 0.00395, 'liveness': 0.106, 'valence': 0.743, 'tempo': 126.877, 'type': 'audio_features', 'id': '1a2iF9XymafjRk56q7oCxo', 'uri': 'spotify:track:1a2iF9XymafjRk56q7oCxo', 'track_href': 'https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo', 'duration_ms': 219587, 'time_signature': 4}",0.427,0.626,8,-11.821,1,0.0385,0.0274,0.00395,0.106,0.743,126.877,audio_features,1a2iF9XymafjRk56q7oCxo,spotify:track:1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/tracks/1a2iF9XymafjRk56q7oCxo,https://api.spotify.com/v1/audio-analysis/1a2iF9XymafjRk56q7oCxo,219587,4
Polyrhythm,65DnWYRy22FApdFe3FF8ro,"{'danceability': 0.623, 'energy': 0.707, 'key': 3, 'loudness': -7.318, 'mode': 1, 'speechiness': 0.0289, 'acousticness': 0.6, 'instrumentalness': 0.722, 'liveness': 0.349, 'valence': 0.8, 'tempo': 132.861, 'type': 'audio_features', 'id': '65DnWYRy22FApdFe3FF8ro', 'uri': 'spotify:track:65DnWYRy22FApdFe3FF8ro', 'track_href': 'https://api.spotify.com/v1/tracks/65DnWYRy22FApdFe3FF8ro', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/65DnWYRy22FApdFe3FF8ro', 'duration_ms': 242375, 'time_signature': 4}",0.623,0.707,3,-7.318,1,0.0289,0.6,0.722,0.349,0.8,132.861,audio_features,65DnWYRy22FApdFe3FF8ro,spotify:track:65DnWYRy22FApdFe3FF8ro,https://api.spotify.com/v1/tracks/65DnWYRy22FApdFe3FF8ro,https://api.spotify.com/v1/audio-analysis/65DnWYRy22FApdFe3FF8ro,242375,4
Heart of Gold,7akEhuu1RR6GCV3xz4Kr1k,"{'danceability': 0.463, 'energy': 0.573, 'key': 4, 'loudness': -7.547, 'mode': 0, 'speechiness': 0.0287, 'acousticness': 0.0817, 'instrumentalness': 0.00345, 'liveness': 0.123, 'valence': 0.825, 'tempo': 172.966, 'type': 'audio_features', 'id': '7akEhuu1RR6GCV3xz4Kr1k', 'uri': 'spotify:track:7akEhuu1RR6GCV3xz4Kr1k', 'track_href': 'https://api.spotify.com/v1/tracks/7akEhuu1RR6GCV3xz4Kr1k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7akEhuu1RR6GCV3xz4Kr1k', 'duration_ms': 185771, 'time_signature': 4}",0.463,0.573,4,-7.547,0,0.0287,0.0817,0.00345,0.123,0.825,172.966,audio_features,7akEhuu1RR6GCV3xz4Kr1k,spotify:track:7akEhuu1RR6GCV3xz4Kr1k,https://api.spotify.com/v1/tracks/7akEhuu1RR6GCV3xz4Kr1k,https://api.spotify.com/v1/audio-analysis/7akEhuu1RR6GCV3xz4Kr1k,185771,4
Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,"{'danceability': 0.653, 'energy': 0.826, 'key': 6, 'loudness': -2.93, 'mode': 0, 'speechiness': 0.354, 'acousticness': 0.0153, 'instrumentalness': 0.00146, 'liveness': 0.131, 'valence': 0.416, 'tempo': 108.52, 'type': 'audio_features', 'id': '2I9foKseoFQh07p6sD2voE', 'uri': 'spotify:track:2I9foKseoFQh07p6sD2voE', 'track_href': 'https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE', 'duration_ms': 256227, 'time_signature': 5}",0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,audio_features,2I9foKseoFQh07p6sD2voE,spotify:track:2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/tracks/2I9foKseoFQh07p6sD2voE,https://api.spotify.com/v1/audio-analysis/2I9foKseoFQh07p6sD2voE,256227,5
Buddy Holly,3mwvKOyMmG77zZRunnxp9E,"{'danceability': 0.556, 'energy': 0.92, 'key': 8, 'loudness': -4.606, 'mode': 1, 'speechiness': 0.0367, 'acousticness': 0.00271, 'instrumentalness': 0.00021, 'liveness': 0.117, 'valence': 0.771, 'tempo': 121.138, 'type': 'audio_features', 'id': '3mwvKOyMmG77zZRunnxp9E', 'uri': 'spotify:track:3mwvKOyMmG77zZRunnxp9E', 'track_href': 'https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E', 'duration_ms': 159227, 'time_signature': 4}",0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,3mwvKOyMmG77zZRunnxp9E,spotify:track:3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227,4
On the Road Again,6IWxHgVbdKyUMydhVGXRaT,"{'danceability': 0.496, 'energy': 0.156, 'key': 9, 'loudness': -17.059, 'mode': 1, 'speechiness': 0.0419, 'acousticness': 0.777, 'instrumentalness': 0, 'liveness': 0.232, 'valence': 0.205, 'tempo': 129.524, 'type': 'audio_features', 'id': '6IWxHgVbdKyUMydhVGXRaT', 'uri': 'spotify:track:6IWxHgVbdKyUMydhVGXRaT', 'track_href': 'https://api.spotify.com/v1/tracks/6IWxHgVbdKyUMydhVGXRaT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6IWxHgVbdKyUMydhVGXRaT', 'duration_ms': 206333, 'time_signature': 4}",0.496,0.156,9,-17.059,1,0.0419,0.777,0.0,0.232,0.205,129.524,audio_features,6IWxHgVbdKyUMydhVGXRaT,spotify:track:6IWxHgVbdKyUMydhVGXRaT,https://api.spotify.com/v1/tracks/6IWxHgVbdKyUMydhVGXRaT,https://api.spotify.com/v1/audio-analysis/6IWxHgVbdKyUMydhVGXRaT,206333,4
Stayin' Alive,5ubvP9oKmxLUVq506fgLhk,"{'danceability': 0.702, 'energy': 0.773, 'key': 10, 'loudness': -9.256, 'mode': 0, 'speechiness': 0.0343, 'acousticness': 0.0288, 'instrumentalness': 0.00871, 'liveness': 0.147, 'valence': 0.953, 'tempo': 103.564, 'type': 'audio_features', 'id': '5ubvP9oKmxLUVq506fgLhk', 'uri': 'spotify:track:5ubvP9oKmxLUVq506fgLhk', 'track_href': 'https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk', 'duration_ms': 285373, 'time_signature': 4}",0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4
The Boxer,76TZCvJ8GitQ2FA1q5dKu0,"{'danceability': 0.439, 'energy': 0.488, 'key': 11, 'loudness': -14.464, 'mode': 1, 'speechiness': 0.0615, 'acousticness': 0.702, 'instrumentalness': 0.000339, 'liveness': 0.16, 'valence': 0.629, 'tempo': 93.017, 'type': 'audio_features', 'id': '76TZCvJ8GitQ2FA1q5dKu0', 'uri': 'spotify:track:76TZCvJ8GitQ2FA1q5dKu0', 'track_href': 'https://api.spotify.com/v1/tracks/76TZCvJ8GitQ2FA1q5dKu0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/76TZCvJ8GitQ2FA1q5dKu0', 'duration_ms': 308520, 'time_signature': 4}",0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,audio_features,76TZCvJ8GitQ2FA1q5dKu0,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/tracks/76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/audio-analysis/76TZCvJ8GitQ2FA1q5dKu0,308520,4
Blue Jean Blues,6Gyk7ZHfFWo3d8U7poUEPs,"{'danceability': 0.648, 'energy': 0.242, 'key': 11, 'loudness': -11.319, 'mode': 0, 'speechiness': 0.0399, 'acousticness': 0.577, 'instrumentalness': 0.0124, 'liveness': 0.104, 'valence': 0.294, 'tempo': 130.885, 'type': 'audio_features', 'id': '6Gyk7ZHfFWo3d8U7poUEPs', 'uri': 'spotify:track:6Gyk7ZHfFWo3d8U7poUEPs', 'track_href': 'https://api.spotify.com/v1/tracks/6Gyk7ZHfFWo3d8U7poUEPs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Gyk7ZHfFWo3d8U7poUEPs', 'duration_ms': 282627, 'time_signature': 3}",0.648,0.242,11,-11.319,0,0.0399,0.577,0.0124,0.104,0.294,130.885,audio_features,6Gyk7ZHfFWo3d8U7poUEPs,spotify:track:6Gyk7ZHfFWo3d8U7poUEPs,https://api.spotify.com/v1/tracks/6Gyk7ZHfFWo3d8U7poUEPs,https://api.spotify.com/v1/audio-analysis/6Gyk7ZHfFWo3d8U7poUEPs,282627,3
Cocaine,3ykSdTGmYPFl8pDBXer1zG,"{'danceability': 0.699, 'energy': 0.502, 'key': 9, 'loudness': -12.526, 'mode': 1, 'speechiness': 0.0278, 'acousticness': 0.0607, 'instrumentalness': 0.0337, 'liveness': 0.317, 'valence': 0.676, 'tempo': 105.266, 'type': 'audio_features', 'id': '3ykSdTGmYPFl8pDBXer1zG', 'uri': 'spotify:track:3ykSdTGmYPFl8pDBXer1zG', 'track_href': 'https://api.spotify.com/v1/tracks/3ykSdTGmYPFl8pDBXer1zG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ykSdTGmYPFl8pDBXer1zG', 'duration_ms': 221640, 'time_signature': 4}",0.699,0.502,9,-12.526,1,0.0278,0.0607,0.0337,0.317,0.676,105.266,audio_features,3ykSdTGmYPFl8pDBXer1zG,spotify:track:3ykSdTGmYPFl8pDBXer1zG,https://api.spotify.com/v1/tracks/3ykSdTGmYPFl8pDBXer1zG,https://api.spotify.com/v1/audio-analysis/3ykSdTGmYPFl8pDBXer1zG,221640,4
Thriller,3S2R0EVwBSAVMd5UMgKTL0,"{'danceability': 0.773, 'energy': 0.859, 'key': 11, 'loudness': -4.913, 'mode': 1, 'speechiness': 0.0747, 'acousticness': 0.0855, 'instrumentalness': 0.000187, 'liveness': 0.914, 'valence': 0.813, 'tempo': 118.459, 'type': 'audio_features', 'id': '3S2R0EVwBSAVMd5UMgKTL0', 'uri': 'spotify:track:3S2R0EVwBSAVMd5UMgKTL0', 'track_href': 'https://api.spotify.com/v1/tracks/3S2R0EVwBSAVMd5UMgKTL0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3S2R0EVwBSAVMd5UMgKTL0', 'duration_ms': 357267, 'time_signature': 4}",0.773,0.859,11,-4.913,1,0.0747,0.0855,0.000187,0.914,0.813,118.459,audio_features,3S2R0EVwBSAVMd5UMgKTL0,spotify:track:3S2R0EVwBSAVMd5UMgKTL0,https://api.spotify.com/v1/tracks/3S2R0EVwBSAVMd5UMgKTL0,https://api.spotify.com/v1/audio-analysis/3S2R0EVwBSAVMd5UMgKTL0,357267,4
Rise Above,3nKiqGz9rHsbBqofnTGYsh,"{'danceability': 0.509, 'energy': 0.47, 'key': 0, 'loudness': -8.829, 'mode': 0, 'speechiness': 0.0357, 'acousticness': 0.023, 'instrumentalness': 6.3e-05, 'liveness': 0.09, 'valence': 0.179, 'tempo': 149.999, 'type': 'audio_features', 'id': '3nKiqGz9rHsbBqofnTGYsh', 'uri': 'spotify:track:3nKiqGz9rHsbBqofnTGYsh', 'track_href': 'https://api.spotify.com/v1/tracks/3nKiqGz9rHsbBqofnTGYsh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3nKiqGz9rHsbBqofnTGYsh', 'duration_ms': 170675, 'time_signature': 4}",0.509,0.47,0,-8.829,0,0.0357,0.023,6.3e-05,0.09,0.179,149.999,audio_features,3nKiqGz9rHsbBqofnTGYsh,spotify:track:3nKiqGz9rHsbBqofnTGYsh,https://api.spotify.com/v1/tracks/3nKiqGz9rHsbBqofnTGYsh,https://api.spotify.com/v1/audio-analysis/3nKiqGz9rHsbBqofnTGYsh,170675,4
Careless Love,5fnlUDWCW3wgoiaCjyfakI,"{'danceability': 0.454, 'energy': 0.157, 'key': 3, 'loudness': -13.607, 'mode': 1, 'speechiness': 0.0367, 'acousticness': 0.968, 'instrumentalness': 3.14e-05, 'liveness': 0.104, 'valence': 0.49, 'tempo': 73.481, 'type': 'audio_features', 'id': '5fnlUDWCW3wgoiaCjyfakI', 'uri': 'spotify:track:5fnlUDWCW3wgoiaCjyfakI', 'track_href': 'https://api.spotify.com/v1/tracks/5fnlUDWCW3wgoiaCjyfakI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fnlUDWCW3wgoiaCjyfakI', 'duration_ms': 241453, 'time_signature': 3}",0.454,0.157,3,-13.607,1,0.0367,0.968,3.14e-05,0.104,0.49,73.481,audio_features,5fnlUDWCW3wgoiaCjyfakI,spotify:track:5fnlUDWCW3wgoiaCjyfakI,https://api.spotify.com/v1/tracks/5fnlUDWCW3wgoiaCjyfakI,https://api.spotify.com/v1/audio-analysis/5fnlUDWCW3wgoiaCjyfakI,241453,3
Still Got the Blues,0DnGfA1r8pAssJCuq4ojla,"{'danceability': 0.189, 'energy': 0.39, 'key': 9, 'loudness': -14.497, 'mode': 0, 'speechiness': 0.0353, 'acousticness': 0.257, 'instrumentalness': 0.000152, 'liveness': 0.122, 'valence': 0.32, 'tempo': 169.563, 'type': 'audio_features', 'id': '0DnGfA1r8pAssJCuq4ojla', 'uri': 'spotify:track:0DnGfA1r8pAssJCuq4ojla', 'track_href': 'https://api.spotify.com/v1/tracks/0DnGfA1r8pAssJCuq4ojla', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0DnGfA1r8pAssJCuq4ojla', 'duration_ms': 370867, 'time_signature': 3}",0.189,0.39,9,-14.497,0,0.0353,0.257,0.000152,0.122,0.32,169.563,audio_features,0DnGfA1r8pAssJCuq4ojla,spotify:track:0DnGfA1r8pAssJCuq4ojla,https://api.spotify.com/v1/tracks/0DnGfA1r8pAssJCuq4ojla,https://api.spotify.com/v1/audio-analysis/0DnGfA1r8pAssJCuq4ojla,370867,3
Mannish Boy,58PSYdY0GFg0LFb2PxYk4T,"{'danceability': 0.598, 'energy': 0.735, 'key': 2, 'loudness': -10.882, 'mode': 1, 'speechiness': 0.0973, 'acousticness': 0.44, 'instrumentalness': 0.000215, 'liveness': 0.681, 'valence': 0.615, 'tempo': 111.129, 'type': 'audio_features', 'id': '58PSYdY0GFg0LFb2PxYk4T', 'uri': 'spotify:track:58PSYdY0GFg0LFb2PxYk4T', 'track_href': 'https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T', 'duration_ms': 321133, 'time_signature': 3}",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,audio_features,58PSYdY0GFg0LFb2PxYk4T,spotify:track:58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,321133,3
Imagine,0pqnGHJpmpxLKifKRmU6WP,"{'danceability': 0.776, 'energy': 0.78, 'key': 10, 'loudness': -4.374, 'mode': 0, 'speechiness': 0.128, 'acousticness': 0.0622, 'instrumentalness': 0, 'liveness': 0.081, 'valence': 0.666, 'tempo': 124.949, 'type': 'audio_features', 'id': '0pqnGHJpmpxLKifKRmU6WP', 'uri': 'spotify:track:0pqnGHJpmpxLKifKRmU6WP', 'track_href': 'https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP', 'duration_ms': 204347, 'time_signature': 4}",0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,audio_features,0pqnGHJpmpxLKifKRmU6WP,spotify:track:0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4
Help!,7DD7eSuYSC5xk2ArU62esN,"{'danceability': 0.534, 'energy': 0.725, 'key': 6, 'loudness': -7.576, 'mode': 0, 'speechiness': 0.0332, 'acousticness': 0.188, 'instrumentalness': 0, 'liveness': 0.0994, 'valence': 0.763, 'tempo': 95.003, 'type': 'audio_features', 'id': '7DD7eSuYSC5xk2ArU62esN', 'uri': 'spotify:track:7DD7eSuYSC5xk2ArU62esN', 'track_href': 'https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DD7eSuYSC5xk2ArU62esN', 'duration_ms': 139560, 'time_signature': 4}",0.534,0.725,6,-7.576,0,0.0332,0.188,0.0,0.0994,0.763,95.003,audio_features,7DD7eSuYSC5xk2ArU62esN,spotify:track:7DD7eSuYSC5xk2ArU62esN,https://api.spotify.com/v1/tracks/7DD7eSuYSC5xk2ArU62esN,https://api.spotify.com/v1/audio-analysis/7DD7eSuYSC5xk2ArU62esN,139560,4
How Blue Can You Get?,6ZfSXhqojBGB8BdRFb96Im,"{'danceability': 0.498, 'energy': 0.484, 'key': 7, 'loudness': -10.5, 'mode': 1, 'speechiness': 0.0922, 'acousticness': 0.323, 'instrumentalness': 0.0108, 'liveness': 0.761, 'valence': 0.604, 'tempo': 110.541, 'type': 'audio_features', 'id': '6ZfSXhqojBGB8BdRFb96Im', 'uri': 'spotify:track:6ZfSXhqojBGB8BdRFb96Im', 'track_href': 'https://api.spotify.com/v1/tracks/6ZfSXhqojBGB8BdRFb96Im', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ZfSXhqojBGB8BdRFb96Im', 'duration_ms': 312027, 'time_signature': 4}",0.498,0.484,7,-10.5,1,0.0922,0.323,0.0108,0.761,0.604,110.541,audio_features,6ZfSXhqojBGB8BdRFb96Im,spotify:track:6ZfSXhqojBGB8BdRFb96Im,https://api.spotify.com/v1/tracks/6ZfSXhqojBGB8BdRFb96Im,https://api.spotify.com/v1/audio-analysis/6ZfSXhqojBGB8BdRFb96Im,312027,4
Layla,2kkvB3RNRzwjFdGhaUA0tz,"{'danceability': 0.404, 'energy': 0.902, 'key': 1, 'loudness': -3.88, 'mode': 1, 'speechiness': 0.0665, 'acousticness': 0.577, 'instrumentalness': 0.297, 'liveness': 0.287, 'valence': 0.497, 'tempo': 115.669, 'type': 'audio_features', 'id': '2kkvB3RNRzwjFdGhaUA0tz', 'uri': 'spotify:track:2kkvB3RNRzwjFdGhaUA0tz', 'track_href': 'https://api.spotify.com/v1/tracks/2kkvB3RNRzwjFdGhaUA0tz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kkvB3RNRzwjFdGhaUA0tz', 'duration_ms': 423840, 'time_signature': 4}",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,audio_features,2kkvB3RNRzwjFdGhaUA0tz,spotify:track:2kkvB3RNRzwjFdGhaUA0tz,https://api.spotify.com/v1/tracks/2kkvB3RNRzwjFdGhaUA0tz,https://api.spotify.com/v1/audio-analysis/2kkvB3RNRzwjFdGhaUA0tz,423840,4
